[Id: c02u9NBolO9wevB5gZT2FyF6M6rdzssT] 2023/05/23 17:38:18 logger.go:23:  Time: 2023-05-23T17:38:18+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list?username=user01 Status: 200 Latency: 106.3717ms Bytes_in: 0 Bytes_out: 39

[Id: EXi5YwhNIDDcwu0gHbxaITz2fn4vM5hg] 2023/05/23 17:38:23 logger.go:23:  Time: 2023-05-23T17:38:23+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list?username=user02 Status: 200 Latency: 118.3986ms Bytes_in: 0 Bytes_out: 52

[Id: XElnGlw26RmslaojnXt9Rjv6VWu48wNI] 2023/05/23 17:38:26 logger.go:23:  Time: 2023-05-23T17:38:26+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list?username=user03 Status: 200 Latency: 141.0209ms Bytes_in: 0 Bytes_out: 39

[Id: qVnMeDTik1oayXT6PDYj7RAjisX0FPlj] 2023/05/23 18:49:39 logger.go:23:  Time: 2023-05-23T18:49:39+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 9.108ms Bytes_in: 0 Bytes_out: 0

[Id: ziydoEoTWkebOiTOXEefom6zVi5yBFfI] 2023/05/23 18:49:39 logger.go:23:  Time: 2023-05-23T18:49:39+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 369.2939ms Bytes_in: 0 Bytes_out: 39

[Id: YQ2Po7x6iZ5Be7FXjHoOaa072pl0ezby] 2023/05/23 18:50:17 logger.go:23:  Time: 2023-05-23T18:50:17+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 204 Latency: 12.5313ms Bytes_in: 0 Bytes_out: 0

